name_song,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genres
Люби меня по-французски,0.888,0.666,-10.567,0.112,0.114,0.0,0.0768,0.881,128.022,russian pop
Ты где-то,0.749,0.983,-6.612,0.0469,0.0188,0.0,0.085,0.97,139.006,russian pop
Ты где-то,0.747,0.983,-6.596,0.0469,0.0208,0.0,0.152,0.969,139.008,russian pop
Зима в сердце,0.702,0.723,-7.022,0.0814,0.511,0.0,0.087,0.44,110.013,russian pop
Зима в сердце,0.719,0.715,-7.025,0.103,0.53,0.0,0.0719,0.391,110.024,russian pop
Он чужой,0.751,0.793,-12.049,0.0364,0.0672,2.38e-06,0.561,0.73,128.991,russian pop
Люби меня по-французски,0.884,0.666,-10.739,0.0873,0.0418,7.97e-06,0.066,0.809,127.997,russian pop
Лучшее в тебе,0.781,0.671,-8.082,0.0335,0.000188,2.11e-05,0.235,0.502,127.975,russian pop
Asfalt Tango,0.595,0.616,-9.595,0.0447,0.559,0.947,0.0796,0.451,116.089,balkan brass
Moliendo Café,0.637,0.739,-7.364,0.063,0.199,0.972,0.0711,0.826,115.693,balkan brass
Mammy Blue,0.399,0.595,-6.706,0.0317,0.244,1.54e-05,0.624,0.337,110.854,spanish invasion
"Oh Lord, Why Lord",0.41,0.503,-7.669,0.0278,0.576,0.537,0.147,0.279,82.19,spanish invasion
לא יכול בלי זה,0.327,0.568,-9.495,0.0313,0.000178,0.717,0.112,0.389,154.66,israeli singer-songwriter
סוס,0.438,0.636,-8.056,0.0279,0.00992,0.0359,0.117,0.539,176.043,israeli singer-songwriter
The Child,0.865,0.865,-5.737,0.0461,0.0723,0.0165,0.109,0.705,107.89,filter house
The Child - Radio Edit,0.866,0.798,-8.902,0.0395,0.03,0.023,0.127,0.826,107.888,filter house
Agadou dou dou,0.823,0.796,-8.265,0.176,0.499,0.0,0.118,0.724,124.406,chanson quebecois
Beat Goes On,0.734,0.602,-9.136,0.079,0.184,0.474,0.131,0.691,154.862,big beat
"Walk Like A Panther - 7"" Version",0.77,0.937,-3.938,0.0584,0.508,3.26e-05,0.103,0.969,107.918,big beat
מי אוהב את השבת (למה לא כל יום שבת),0.585,0.608,-6.769,0.0374,0.59,0.116,0.465,0.544,83.2,festigal
דרכנו,0.551,0.325,-14.728,0.025,0.369,0.0,0.296,0.469,81.011,israeli pop
הבל החן שקר היופי,0.548,0.873,-7.96,0.0319,0.00745,1.96e-06,0.0288,0.962,140.0,israeli pop
פתח תקווה,0.525,0.66,-8.17,0.0399,0.149,0.0111,0.114,0.289,121.496,israeli punk
בקבוק עליי,0.399,0.83,-5.229,0.0449,0.00264,3.47e-05,0.317,0.742,102.809,israeli punk
אציטון,0.499,0.888,-6.784,0.0636,0.000558,1.03e-05,0.167,0.646,88.328,israeli punk
עין הנמר,0.672,0.713,-8.297,0.0375,0.00367,0.00736,0.096,0.331,109.001,israeli punk
זה היה ביתי,0.474,0.815,-6.765,0.0426,0.00366,7.47e-05,0.133,0.657,87.346,israeli punk
בוקר טוב,0.408,0.671,-6.858,0.0327,0.0111,0.000127,0.114,0.326,96.639,israeli pop
אהבה מוסיקה,0.457,0.876,-5.253,0.0454,0.0837,8.76e-06,0.283,0.446,93.53,israeli pop
ואם פרידה,0.406,0.587,-4.589,0.0419,0.0234,0.0,0.141,0.146,151.478,israeli pop
שבע בערב,0.511,0.406,-5.403,0.0263,0.277,1.73e-06,0.193,0.146,140.823,israeli pop
Here Comes the Rain Again - גרסת רדיו,0.548,0.83,-6.065,0.0886,0.0199,0.000983,0.293,0.362,120.078,israeli pop
הוא כותב לי מאמי,0.497,0.715,-5.618,0.0383,0.254,0.0,0.102,0.417,156.016,israeli pop
סמל מיני,0.807,0.617,-6.137,0.305,0.299,0.0,0.264,0.775,170.634,israeli hip hop
Intelligent Life - Original Mix,0.672,0.824,-9.88,0.0433,0.103,0.697,0.0975,0.596,145.002,psychedelic trance
Keep On The Sunny Side,0.659,0.256,-12.421,0.0303,0.802,1.81e-06,0.119,0.756,95.737,bluegrass
ניו יורק - רפיח,0.45,0.684,-6.004,0.0263,0.0757,0.0,0.0618,0.621,90.745,israeli rock
את דומה לכלב,0.396,0.446,-7.132,0.0344,0.532,0.0,0.234,0.477,82.261,israeli rock
עושה ביד,0.404,0.841,-5.188,0.0391,0.000175,0.0,0.252,0.742,162.052,israeli rock
חייל של 100 שערים,0.46,0.7,-6.177,0.0334,0.000631,0.00285,0.15,0.897,156.922,israeli rock
פרח נתתי לנורית,0.361,0.54,-7.704,0.0444,0.00486,1.01e-06,0.218,0.474,123.802,israeli rock
לב מפלסטיק,0.392,0.565,-6.034,0.0279,0.0518,0.0,0.136,0.19,93.125,israeli rock
מרלין מונרו,0.375,2.03e-05,-4.593,0.0638,0.221,0.000252,0.133,0.123,105.77,israeli rock
אבא עורך דין,0.515,0.81,-3.708,0.0362,0.000873,0.0,0.101,0.631,124.031,israeli rock
משקאות חריפים,0.291,0.912,-4.234,0.0715,0.000314,0.00988,0.167,0.496,161.361,israeli rock
אינטרקום,0.521,0.771,-5.998,0.0277,0.0477,0.00451,0.122,0.47,124.072,israeli rock
את יפה,0.288,0.604,-6.537,0.0329,0.0781,5.53e-05,0.312,0.168,167.558,israeli rock
דיילת באל-על,0.557,0.704,-6.009,0.0281,0.0194,0.0,0.142,0.45,150.225,israeli rock
אין לי כוח,0.6,0.635,-4.642,0.0288,0.0608,0.0,0.0602,0.939,154.284,israeli rock
קשה לי לחשוב,0.484,0.611,-5.053,0.0254,0.0042,1.41e-05,0.374,0.36,93.784,israeli rock
אלוף בלפשל,0.496,0.748,-5.511,0.0243,0.00822,8.5e-06,0.13,0.364,94.852,israeli rock
המילים הכי יפות,0.498,0.785,-6.465,0.0528,0.000888,1.54e-05,0.0862,0.85,155.036,israeli rock
להפסיק לאכול עוגות,0.615,0.493,-5.993,0.0758,0.000713,0.0,0.098,0.614,134.214,israeli rock
שלום לך ארץ נהדרת,0.709,0.759,-6.822,0.0337,0.0136,2.55e-06,0.137,0.883,117.042,israeli rock
Jessica,0.452,0.82,-8.773,0.0472,0.00927,0.0143,0.0895,0.371,143.185,psychedelic blues-rock
A Certain Kind,0.409,0.338,-13.636,0.0409,0.853,0.0585,0.0863,0.0469,130.094,psychedelic blues-rock
Back At The Lab,0.573,0.339,-16.938,0.0338,0.0148,0.39,0.121,0.0367,100.027,anime score
צוללת,0.337,0.387,-8.508,0.0342,0.731,2.84e-06,0.488,0.151,115.338,israeli singer-songwriter
Tomorrow's Gone,0.344,0.07,-18.495,0.035,0.993,0.95,0.101,0.0827,147.401,psychedelic folk rock
Polyester,0.426,0.342,-10.716,0.0298,0.706,0.00106,0.125,0.0645,146.169,melancholia
עדיף,0.557,0.646,-7.177,0.024,0.402,1.87e-06,0.234,0.428,90.36,israeli pop
בא מכאב,0.511,0.455,-8.788,0.0261,0.49,0.000484,0.114,0.131,164.908,israeli pop
רבות הדרכים,0.533,0.276,-9.305,0.027,0.643,1.03e-06,0.108,0.0646,67.043,israeli pop
אהבה,0.407,0.536,-6.095,0.0269,0.0602,2.93e-06,0.36,0.159,128.062,israeli pop
תני לו ללכת,0.645,0.68,-8.642,0.0365,0.0687,0.0,0.28,0.795,90.026,israeli pop
איש וכינור,0.523,0.642,-6.347,0.0258,0.123,0.000868,0.0865,0.228,109.982,israeli pop
Insatiable,0.67,0.847,-5.449,0.0545,0.0974,0.0,0.0842,0.852,143.872,australian pop
Потому что не было тебя,0.746,0.936,-6.611,0.0362,0.0875,2.8e-05,0.267,0.672,137.977,"classic russian pop, russian dance pop, russian pop, ukrainian pop"
Танцы,0.705,0.988,-4.645,0.0664,0.0934,6.16e-06,0.276,0.828,138.019,"classic russian pop, russian dance pop, russian pop, ukrainian pop"
Non Stop,0.742,0.884,-4.995,0.0445,0.0158,3.18e-05,0.379,0.741,130.027,"classic russian pop, russian dance pop, russian pop, ukrainian pop"
Сойти с ума,0.659,0.59,-6.808,0.0383,0.383,0.0,0.16,0.551,143.911,"classic russian pop, russian dance pop, russian pop, ukrainian pop"
